Character Id	Name	Gender	Movie Id	# Words
u122	SHEILA	?	m7	66
u123	ALICE	f	m8	681
u124	ALICE'S DAD	?	m8	108
u125	DAN	?	m8	66
u126	GRETA	?	m8	123
u127	JACOB	?	m8	94
u128	MARK	m	m8	364
u129	MRS. JORDAN	?	m8	47
u130	YVONNE	f	m8	352
u131	CARL	m	m9	341
u132	DAVE	m	m9	258
u133	GRIFF	?	m9	43
u134	KENT	?	m9	164
u135	REEF	m	m9	736
u136	SAUCER VOICE	?	m9	131
u137	SIR IAN	?	m9	176
u138	WENDOVER	?	m9	281
u139	ALMA	f	m10	154
u140	CHICK	?	m10	111
u141	HAND	?	m10	135
u142	JACK	m	m10	624
u143	JILL	f	m10	264
u144	LARIVIERE	m	m10	538
u145	LILLIAN	?	m10	164
u146	LUGENE	?	m10	25
u147	MARGIE	f	m10	409
u148	MEL GORDON	?	m10	139
u149	MRS. GORDON	?	m10	22
u150	NICK	?	m10	167
u151	POP	?	m10	273
u152	ROLFE	m	m10	438
u153	TWOMBLEY	m	m10	106
u154	WADE	m	m10	3363
u155	ALICE	?	m11	260
u156	CERALLOS	?	m11	49
u157	CHIEF MECHANIC	?	m11	69
u158	COL. CARLTON	?	m11	111
u159	DEAN	?	m11	18
u160	DOHERTY	?	m11	43
u161	GENERAL NORTHWOOD	?	m11	152
u162	GIBBS	?	m11	119
u163	IRAQI SOLDIER	?	m11	56
u164	KC-135 PILOT	?	m11	40
u165	KC-LO PILOT	?	m11	44
u166	KORSHUNOV	?	m11	588
u167	LEE	?	m11	48
u168	MAJOR CALDWELL	?	m11	84
u169	MARSHALL	m	m11	775
u170	MITCHELL	?	m11	173
u171	ROSE	?	m11	327
u172	SECRET SERVICE AGENT	?	m11	11
u173	SECRETARY	?	m11	24
u174	SHEPHERD	m	m11	169
u175	SWITCHBOARD	?	m11	55
u176	TOWER	?	m11	37
u177	V.P. CHANDLER	?	m11	199
u178	COMMISSIONER	?	m12	105
u179	DUNN	?	m12	37
u180	ELAINE	f	m12	589
u181	JIMMY	?	m12	46
u182	JOE	?	m12	42
u183	JOHN	?	m12	67
u184	KRUGER	?	m12	106
u185	MARY	?	m12	64
u186	OVEUR	?	m12	177
u187	PORTER	?	m12	35
u188	RECEPTIONIST	?	m12	40
u189	ROK	?	m12	97
u190	RUMACK	?	m12	103
u191	SIMON	m	m12	260
u192	STELLA	?	m12	176
u193	TED	m	m12	703
u194	WIFE	?	m12	50
u195	BERNICE	?	m13	124
u196	CAREY	?	m13	63
u197	DR. RUMACK	?	m13	367
u198	ELAINE	f	m13	516
u199	GIRL	?	m13	37
u200	GUNDERSON	?	m13	42
u201	JACK	?	m13	22
u202	JOEY	?	m13	67
u203	KRAMER	?	m13	100
u204	LISA	?	m13	12
u205	MILTON	?	m13	217
u206	MRS. HAMMEN	?	m13	25
u207	MRS. KRAMER	?	m13	54
u208	MURDOCK	?	m13	134
u209	OVEUR	?	m13	117
u210	RANDY	?	m13	187
u211	SHIRLEY	?	m13	39
u212	SISTER ANGELINA	?	m13	9
u213	SOLDIER	?	m13	18
u214	STRIKER	m	m13	485
u215	CASSANDRA	?	m14	192
u216	FEDORCHUK	?	m14	94
u217	HARCOURT	?	m14	100
u218	JETSON	M	m14	1123
u219	KIPLING	?	m14	41
u220	MAFFET	?	m14	46
u221	O'NEAL	?	m14	109
u222	OPERATOR	?	m14	100
u223	PORTER	?	m14	33
u224	SYKES	m	m14	1872
u225	TUGGLE	?	m14	118
u226	WARNER	?	m14	37
u227	WINTER	?	m14	197
u228	APONE	?	m15	81
u229	BISHOP	m	m15	253
u230	BURKE	m	m15	528
u231	GORMAN	?	m15	296
u232	HICKS	m	m15	209
u233	HUDSON	?	m15	405
u234	LYDECKER	?	m15	50
u235	MED-TECH	?	m15	36
u236	NEWT	f	m15	208
u237	RIPLEY	f	m15	1257
u238	SIMPSON	?	m15	65
u239	VAN LEUWEN	?	m15	81
u240	VASQUEZ	?	m15	41
u241	ALLEGRO	?	m16	180
u242	ANDANTE	?	m16	78
u243	ARCO	?	m16	17
u244	CAVALIERI	f	m16	189
u245	COLLOREDO	?	m16	140
u246	COMMENDATORE	?	m16	29
u247	CONSTANZE	f	m16	1006
u248	FIRST LADY	?	m16	7
u249	FLUNKY	?	m16	28
u250	FRAU SCHLUMBERG	?	m16	95
u251	JOSEPH	m	m16	709
u252	LEOPOLD	m	m16	450
u253	LORL	f	m16	224
u254	MADAME WEBER	?	m16	55
u255	MOZART	m	m16	3146
u256	OFFICER	?	m16	11
u257	OLD SALIERI	m	m16	705
u258	ORSINI-ROSENBERG	?	m16	222
u259	PAPAGENO	?	m16	51
u260	SALIERI	m	m16	1641
u261	SCHIKANEDER	m	m16	502
u262	SCHLUMBERG	?	m16	209
u263	SECOND LADY	?	m16	6
u264	SERVANT	?	m16	46
u265	UGLY OLD WOMAN	?	m16	66
u266	VOGLER	m	m16	280
u267	VON STRACK	?	m16	148
u268	VON SWIETEN	?	m16	204
u269	ALEX	f	m17	875
u270	BENJAMIN	?	m17	8
u271	BOBBIE	?	m17	36
u272	BRINGSLY	?	m17	69
u273	CHESS PLAYER	?	m17	68
u274	DAVID	m	m17	1577
u275	DR. HIRSCH	M	m17	853
u276	JACK	m	m17	865
u277	LT. VILLIERS	?	m17	189
u278	MISS GALLAGHER	?	m17	105
u279	MRS. HOBBS	?	m17	60
u280	ORDERLY	?	m17	31
u281	SECRETARY	?	m17	18
u282	SGT. MCMANUS	?	m17	44
u283	WOMAN	?	m17	87
u284	BILL	?	m18	75
u285	CHARLIE	?	m18	121
u286	CLARK	m	m18	414
u287	CLUETT	m	m18	715
u288	DICKSON	m	m18	1976
u289	DUDE	?	m18	130
u290	GARDINER	?	m18	37
u291	GUARD	?	m18	39
u292	HELEN	f	m18	249
u293	HELEN'S VOICE	?	m18	9
u294	INSPECTOR	?	m18	470
u295	JANITOR	?	m18	22
u296	LADY	?	m18	37
u297	MATT	m	m18	847
u298	MIKE	?	m18	35
u299	MRS. DICKSON	f	m18	662
u300	MRS. HALLIGAN	?	m18	127
u301	MRS. PEMBROKE	?	m18	33
u302	O'BRIEN	?	m18	42
u303	OSCAR	?	m18	49
u304	SAMPSON	?	m18	112
u305	TELLER	?	m18	38
u306	BOB	m	m19	448
u307	BURLY DETECTIVE	?	m19	11
u308	COLE	m	m19	743
u309	COMANCHE TOM	?	m19	115
u310	DEPUTY	?	m19	11
u311	DOC MIMMS	?	m19	108
u312	FRANK	m	m19	687
u313	JESSE	m	m19	1719
u314	JIM	?	m19	237
u315	JIMMY	?	m19	61
u316	LYLA	?	m19	56
u317	MA	?	m19	61
u318	MARSHALL	?	m19	32
u319	OLD MAN	?	m19	27
u320	PARKER	m	m19	265
u321	PASTOR	?	m19	51
u322	PINKERTON	m	m19	641
u323	RAINS	m	m19	406
u324	SHERRIFF	?	m19	33
u325	TELLER	?	m19	18
u326	ZEE	f	m19	435
u327	BATEMAN	m	m20	2919
u328	CARNES	?	m20	194
u329	CARRUTHERS	?	m20	77
u330	CHRISTIE	?	m20	78
u331	COURTNEY	f	m20	291
u332	DAISY	?	m20	51
u333	ELIZABETH	f	m20	191
u334	EVELYN	f	m20	198
u335	HOMELESS MAN	m	m20	55
u336	JEAN	f	m20	379
u337	KIMBALL	m	m20	830
u338	MAITRE D'	?	m20	36
u339	MRS. WOLFE	?	m20	44
u340	OWEN	?	m20	142
u341	PRICE	?	m20	246
u342	VAN PATTEN	?	m20	93
u343	VICTORIA	?	m20	70
u344	ALICE	f	m21	588
u345	BARTON	?	m21	162
u346	BRIAN	?	m21	74
u347	CYBER PUNDIT	?	m21	81
u348	DANNY	?	m21	26
u349	GARY	m	m21	725
u350	LARRY	?	m21	176
u351	LARRY KING	?	m21	42
u352	LEN	?	m21	84
u353	LISA	f	m21	540
u354	MILO	m	m21	2607
u355	PHIL	?	m21	158
u356	RANDY	?	m21	90
u357	REDMOND	?	m21	125
u358	SHROT	?	m21	177
u359	TEDDY	?	m21	146
u360	ALOTTA	f	m22	160
u361	ANDY WARHOL	?	m22	45
u362	AUSTIN	m	m22	1800
u363	BASIL EXPOSITION	m	m22	594
u364	CLERK	?	m22	99
u365	COMMANDER GILMOUR	?	m22	30
u366	DESTRUCTACON	?	m22	51
u367	DR. EVIL	m	m22	932
u368	FRAU FARBISSINA	?	m22	180
u369	GUARD	?	m22	48
u370	MICK JAGGER	?	m22	39
u371	MRS. KENSINGTON	?	m22	165
u372	MUSTAFA	?	m22	121
u373	NUMBER TWO	?	m22	99
u374	RADAR OPERATOR	?	m22	92
u375	SCOTT EVIL	m	m22	328
u376	THERAPIST	?	m22	119
u377	VANESSA	f	m22	906
u378	BAILEY	?	m23	72
u379	DR. DARLING	?	m23	75
u380	EMMA	f	m23	1318
u381	FATHER	?	m23	161
u382	INVISIBLE JONES	m	m23	195
u383	MOTHER	m	m23	494
u384	OLD LADY	?	m23	58
u385	PORTER	?	m23	26
u386	SIR AUGUST	?	m23	127
u387	STEED	m	m23	1289
u388	VALENTINE	f	m23	391
u389	VOICE	?	m23	111
u390	BOBBIE	?	m24	109
u391	CHULO	?	m24	127
u392	COLE	m	m24	462
u393	DEBBIE	f	m24	428
u394	EXECUTIVE	?	m24	48
u395	GARY	?	m24	189
u396	ILENE	?	m24	107
u397	JUMBO	?	m24	62
u398	LARRY	?	m24	153
u399	MANAGER	?	m24	68
u400	MR. T	?	m24	16
u401	MR. THOMERSON	?	m24	377
u402	MRS. THOMERSON	?	m24	87
u403	O'NEILL	m	m24	300
u404	PHOEBE	?	m24	39
u405	RAJAH	?	m24	65
u406	RICK	m	m24	1345
u407	RYKO	?	m24	43
u408	SISTER MARY FRANCIS	?	m24	20
u409	STAN	?	m24	173
u410	WOMAN	?	m24	7
u411	AXE	?	m25	283
u412	BRIAN	m	m25	1883
u413	CHIEF FITZGERALD	?	m25	118
u414	DENNIS	?	m25	60
u415	GRINDLE	?	m25	29
u416	HELEN	f	m25	214
u417	JENNIFER	f	m25	606
u418	RICCO	?	m25	88
u419	RONALD	?	m25	331
u420	SHADOW	m	m25	1055
u421	STEPHEN	m	m25	1438
u422	SWAYZAK	?	m25	204
u423	TIM	?	m25	244
u424	WILLY	?	m25	116
u425	ARIANE	f	m26	273
u426	ELDERLY BLACK WOMAN	?	m26	16
u427	FENCE	?	m26	79
u428	JC	?	m26	50
u429	JESUS	?	m26	21
u430	LARGE	?	m26	114
u431	LITE	m	m26	194
u432	LT	m	m26	1091
u433	NUN	?	m26	271
u434	PRIEST	?	m26	145
u435	1/16TH BLACK	?	m27	63
u436	AUDIENCE	?	m27	9
u437	BIG BLACK	?	m27	413
u438	CHEEBA	?	m27	326
u439	DELACROIX	m	m27	2666
u440	DOT	?	m27	92
u441	DUNWITTY	m	m27	1175
u442	GARY BYRD	?	m27	69
u443	HONEYCUTT	?	m27	108
u444	JUKKA	?	m27	100
u445	JUNEBUG	m	m27	251
u446	MANRAY	?	m27	276
u447	MANTAN	m	m27	1230
u448	MONA	?	m27	65
u449	MYRNA	?	m27	111
u450	ORCHID	f	m27	275
u451	SLEEP 'N EAT	M	m27	232
u452	SLOAN	f	m27	966
u453	TAVIS SMILEY	?	m27	187
u454	ARMED GENTLEMAN	?	m28	29
u455	CAPTAIN BEST	?	m28	145
u456	CAPTAIN GALGENSTEIN	m	m28	566
u457	CAPTAIN GROGAN	m	m28	756
u458	CAPTAIN O'REILLY	?	m28	185
u459	CHEVALIER	m	m28	391
u460	COUNT	?	m28	67
u461	COUNTESS	F	m28	692
u462	DOROTHY	?	m28	241
u463	HARRY	?	m28	80
u464	HENRI	?	m28	35
u465	LORD WEST	?	m28	180
u466	MICHAEL	?	m28	29
u467	MINISTER GALGENSTEIN	?	m28	36
u468	MRS. O'REILLY	?	m28	186
u469	NEWCOMBE	?	m28	372
u470	PATRICK	?	m28	83
u471	PRINCE	?	m28	62
u472	PRUSSIAN OFFICER	?	m28	56
u473	RODERICK	M	m28	2420
u474	SIR WILLIAM	?	m28	520
u475	VALDEZ	?	m28	57
u476	BARTENDER	?	m29	38
u477	CHILDS	?	m29	192
u478	DUNBAR	m	m29	751
u479	HARDY	m	m29	2628
u480	KENDALL	m	m29	930
u481	MUELLER	?	m29	344
u482	OSBORNE	f	m29	1297
u483	PIKE	m	m29	691
u484	SERGEANT	?	m29	61
u485	STYLES	m	m29	686
u486	THE CADETS	?	m29	12
u487	WEST	?	m29	389
u488	AMOS	m	m30	191
u489	BEAMEN	?	m30	91
u490	DON PRICE	?	m30	31
u491	DR. BENNETT	?	m30	164
u492	EDWARD	M	m30	1620
u493	JENNY	f	m30	357
u494	JOSEPHINE	f	m30	192
u495	KARL	?	m30	41
u496	NORTHER WINSLOW	?	m30	112
u497	SANDRA	f	m30	537
u498	WILL	m	m30	1035
u499	ALEXEI	?	m31	105
u500	BRANCH MANAGER	?	m31	43
u501	JOHN	m	m31	1176
u502	NADIA	f	m31	693
u503	OFFICIAL	?	m31	19
u504	YURI	m	m31	622
u505	ANGELA	f	m32	320
u506	BOJO	?	m32	43
u507	BRYAN	?	m32	10
u508	ELLA MAE	?	m32	75
u509	GILL	m	m32	356
u510	JESSE	?	m32	50
u511	LAZARUS	m	m32	2332
u512	LINCOLN	?	m32	57
u513	MAYELLA	?	m32	65
u514	R.L.	M	m32	492
u515	RAE	f	m32	1301
u516	RONNIE	m	m32	511
u517	ROSE	f	m32	164
u518	SANDY	?	m32	113
u519	TEHRONNE	m	m32	504
u520	CHARLIE	m	m33	446
u521	CONNIE	?	m33	41
u522	ICH	?	m33	429
u523	JOYCE	f	m33	235
u524	KOBO	?	m33	77
u525	NICK	m	m33	1100
u526	OHASHI	m	m33	108
u527	OLIVER	?	m33	182
u528	SUGAI	?	m33	246
u529	BATTY	m	m34	381
u530	BRYANT	?	m34	312
u531	CHEW	?	m34	17
u532	DECKARD	m	m34	905
u533	DECKARD'S VOICE	?	m34	11
u534	ESPER	?	m34	228
u535	GAFF	?	m34	35
u536	HOLDEN	?	m34	231
u537	LEON	?	m34	126
u538	MARY	?	m34	54
u539	PRIS	f	m34	134
u540	RACHAEL	f	m34	445
u541	SALOME	?	m34	68
u542	SEBASTIAN	m	m34	223
u543	TAFFEY	?	m34	174
u544	TYRELL	?	m34	379
u545	VOICE	?	m34	43
u546	WHEELER	?	m34	77
u547	ADAM	m	m35	2206
u548	ARON	?	m35	139
u549	ATKINSON	?	m35	40
u550	BELLBOY	?	m35	38
u551	BUTCHER	?	m35	26
u552	BYSTANDER #1	?	m35	11
u553	CALVIN	m	m35	1126
u554	CLERK	?	m35	15
u555	CLIFF	?	m35	121
u556	EVE	f	m35	2096
u557	HELEN	f	m35	731
u558	JERRY	?	m35	56
u559	LEVY	?	m35	33
u560	MISS SWEET	?	m35	34
u561	MOM	?	m35	60
u562	PILOT	?	m35	40
u563	POSTAL WORKER	?	m35	8
u564	SODA JERK	?	m35	93
u565	STREET WALKER	?	m35	102
u566	TOWER	?	m35	37
u567	TROY	m	m35	899
u568	AUNT BARBARA	?	m36	76
u569	BEN	?	m36	65
u570	DETECTIVE WILLIAMS	m	m36	396
u571	DOROTHY	f	m36	994
u572	F.B.I. MAN	?	m36	53
u573	FRANK	?	m36	410
u574	JEFFREY	m	m36	2892
u575	MIKE	?	m36	124
u576	MR. BEAUMONT	?	m36	16
u577	MRS. BEAUMONT	?	m36	227
u578	MRS. WILLIAMS	?	m36	135
u579	RAYMOND	?	m36	14
u580	SANDY	f	m36	1277
u581	YELLOW MAN	?	m36	115
u582	AUGUSTUS	?	m37	202
u583	BOTH	?	m37	8
u584	CHAFFEY	?	m37	50
u585	CONNOR	m	m37	1039
u586	DOC	?	m37	35
u587	DOLLY	?	m37	65
u588	DONNA	?	m37	19
u589	DUFFY	m	m37	184
u590	GREENLY	?	m37	110
u591	MOM	?	m37	337
u592	MURPHY	m	m37	680
u593	PRIEST	m	m37	234
u594	ROCCO	m	m37	1136
u595	ROZ	?	m37	75
u596	SMECKER	m	m37	1308
u597	VINCENZO	?	m37	41
u598	YAKAVETTA	?	m37	191
u599	ANTHONY	m	m38	1835
u600	APPLEJACK	?	m38	135
u601	BOB	m	m38	1025
u602	COP	?	m38	8
u603	DIGNAN	m	m38	2737
u604	EMPLOYEE	?	m38	17
u605	FUTURE MAN	?	m38	63
u606	INEZ	?	m38	13
u607	JACKSON	?	m38	42
u608	KUMAR	?	m38	15
u609	LITTLE RICHARD	?	m38	17
u610	MAN	?	m38	64
u611	MR. HENRY	m	m38	577
u612	ABBOTT	m	m39	666
u613	BOURNE	m	m39	719
u614	CRONIN	?	m39	107
u615	GRETKOV	?	m39	51
u616	IRENA	f	m39	59
u617	IVAN	?	m39	20
u618	JARDA	?	m39	127
u619	MARIE	f	m39	222
u620	MARSHALL	?	m39	35
u621	NEVINS/PHONE	?	m39	9
u622	NICKY	f	m39	366
u623	PAMELA	f	m39	835
u624	PAMELA/PHONE	?	m39	114
u625	TEDDY	?	m39	116
u626	VIC	?	m39	22
u627	ZORN	?	m39	221
u628	ARGYLE	?	m40	154
u629	CRAIG	?	m40	258
u630	EDWARD	?	m40	198
u631	HAMISH	?	m40	170
u632	LEADER	?	m40	47
u633	LEPER	?	m40	71
u634	LONGSHANKS	?	m40	258
u635	MAGISTRATE	?	m40	60
u636	MARION	f	m40	99
u637	NICOLETTE	?	m40	126
u638	PRINCESS	f	m40	666
u639	ROBERT	?	m40	195
u640	STEPHEN	?	m40	131
u641	WALLACE	m	m40	724
u642	WILLIAM	m	m40	217
u643	ANDREA	f	m41	480
u644	CARLOS	?	m41	67
u645	DR. REDFIELD	m	m41	439
u646	EVAN	m	m41	2052
u647	HEIDI	?	m41	55
u648	HUNTER	?	m41	24
u649	JASON	?	m41	70
u650	KAYLEIGH	f	m41	1004
u651	LENNY	?	m41	130
u652	MR. MILLER	?	m41	86
u653	MRS. BOSWELL	?	m41	84
u654	PROFESSOR CARTER	?	m41	91
u655	THUMPER	?	m41	81
u656	TOMMY	?	m41	274
u657	WAITRESS	?	m41	30
u658	ANNINA	f	m42	238
u659	BERGER	?	m42	118
u660	CARL	?	m42	93
u661	EMIL	?	m42	40
u662	EUROPEAN	?	m42	25
u663	FERRARI	m	m42	469
u664	ILSA	f	m42	1374
u665	LASZLO	m	m42	1161
u666	RENAULT	m	m42	1695
u667	RICK	m	m42	3012
u668	SAM	m	m42	254
u669	STRASSER	m	m42	820
u670	TOURIST	?	m42	11
u671	UGARTE	m	m42	275
u672	YVONNE	?	m42	35
u673	ALEKSEI	?	m43	9
u674	BADCHUCK	m	m43	296
u675	BETTINA	?	m43	119
u676	CHUCK	m	m43	1219
u677	CHUCK/CAPTAIN	?	m43	37
u678	DOCTOR	?	m43	171
u679	DRIVER	?	m43	39
u680	ERICA	?	m43	38
u681	GOODCHUCK	m	m43	273
u682	KELLY	f	m43	429
u683	LESLIE	?	m43	26
u684	MOM	?	m43	107
u685	ROGER	?	m43	62
u686	STAN	m	m43	402
u687	TECHNICIAN	?	m43	98
u688	VOICE	?	m43	20
u689	ANGELA	f	m44	122
u690	BUSTER	m	m44	137
u691	CANDY	f	m44	807
u692	CURLY	?	m44	30
u693	EDNA	?	m44	82
u694	FUZZY	?	m44	70
u695	HOMER	m	m44	1554
u696	JACK	?	m44	45
u697	LARCH	m	m44	1047
u698	MAJOR WINSLOW	?	m44	130
u699	MARY AGNES	?	m44	20
u700	MR. ROSE	m	m44	903
u701	MRS. GOODHALL	?	m44	95
u702	MUDDY	?	m44	162
u703	OLIVE	?	m44	88
u704	PEACHES	?	m44	69
u705	RAY	?	m44	57
u706	ROSE ROSE	f	m44	266
u707	WALLY	m	m44	309
u708	ASHBY	m	m45	190
u709	BIG AL	?	m45	51
u710	BUTCH	m	m45	308
u711	GILLETTE	?	m45	122
u712	GORDO	m	m45	627
u713	JAKE	m	m45	3158
u714	KING PIN	m	m45	404
u715	LILY	f	m45	1003
u716	LIONEL	?	m45	28
u717	LUPUS	m	m45	344
u718	MILES	m	m45	404
u719	MOONAN	?	m45	456
u720	MR. LEWIS	?	m45	44
u721	ROTTOVICH	?	m45	454
u722	SALESGIRL	?	m45	27
u723	SOBOZINSKI	?	m45	134
u724	SUITS	?	m45	255
u725	BELLA	f	m46	252
u726	DEALER	?	m46	39
u727	GILES	m	m46	191
u728	JACK	m	m46	1332
u729	JACK SR.	?	m46	145
u730	JANI	f	m46	538
u731	LUCY	?	m46	25
u732	MAN	?	m46	34
u733	MARION	f	m46	602
u734	MATT	m	m46	315
u735	REYNOLDS	m	m46	475
u736	ROSS	?	m46	6
u737	BOILER	m	m47	272
u738	BOMB #19	?	m47	16
u739	BOMB #20	m	m47	271
u740	DOOLITTLE	m	m47	1092
u741	PINBACK	m	m47	471
u742	POWELL	m	m47	175
u743	TALBY	m	m47	490
u744	BLONDE	?	m48	46
u745	BRUNO	m	m48	193
u746	DARREN	?	m48	182
u747	HERBAL	?	m48	62
u748	INGA	?	m48	92
u749	KENDRA	?	m48	56
u750	LAUREN	?	m48	184
u751	LOGAN	M	m48	1041
u752	LYDIA	f	m48	186
u753	MAX	M	m48	2663
u754	NORMAL	?	m48	212
u755	ORIGINAL CINDY	f	m48	303
u756	SKETCHY	M	m48	402
u757	SONRISA	?	m48	70
u758	SOPHY	?	m48	74
u759	THEO	?	m48	48
u760	VOGELSANG	?	m48	424
u761	AMANDA	?	m49	201
u762	BARTENDER	?	m49	199
u763	BETH	?	m49	202
u764	CHRISTINE	?	m49	78
u765	HAWK	m	m49	1306
u766	JAM	m	m49	668
u767	KENNY	?	m49	52
u768	LEX	m	m49	643
u769	LITTLE KID	?	m49	104
u770	MAN WITH COAT	?	m49	23
u771	MRS. BRUCE	?	m49	285
u772	PRIEST	?	m49	186
u773	SCALPER	?	m49	94
u774	SIMPLE SIMON'S VOICE	?	m49	95
u775	TRIP	m	m49	550
u776	TRIP'S VOICE	?	m49	35
u777	AUDIENCE	?	m50	8
u778	DAVID	?	m50	27
u779	DONNIE	m	m50	2265
u780	DR. MONNITOFF	?	m50	214
u781	DR. THURMAN	M	m50	606
u782	EDDIE	?	m50	258
u783	ELIZABETH	?	m50	194
u784	FRANK	?	m50	80
u785	GRETCHEN	f	m50	434
u786	JIM CUNNINGHAM	?	m50	130
u787	LEROY	?	m50	33
u788	MS. FARMER	?	m50	393
u789	MS. POMEROY	?	m50	217
u790	PRINCIPAL COLE	?	m50	35
u791	RONALD	?	m50	87
u792	ROSE	?	m50	414
u793	SAMANTHA	?	m50	30
u794	SEAN	?	m50	82
u795	SETH	?	m50	33
u796	AMBER	f	m51	706
u797	ANNETTE	f	m51	381
u798	BECKY	?	m51	93
u799	BRETT	?	m51	67
u800	COLLEEN	?	m51	54
u801	DOCUMENTARIAN	?	m51	40
u802	FRY GIRL #1	?	m51	76
u803	GLADYS	?	m51	518
u804	HANK	?	m51	49
u805	HAROLD	?	m51	90
u806	IRIS	?	m51	186
u807	LESLIE	?	m51	43
u808	LESTER	?	m51	103
u809	LISA	?	m51	118
u810	LORETTA	f	m51	412
u811	MR. HOWARD	?	m51	44
u812	MR. LARSON	?	m51	46
u813	PREGNANT FRY GIRL	?	m51	26
u814	TERRY	?	m51	50
u815	TINA	?	m51	76
u816	ALL	?	m52	35
u817	BOB	m	m52	122
u818	CHICO	m	m52	641
u819	ENSEMBLE	?	m52	61
u820	GROUCHO	M	m52	2506
u821	MRS. TEASDALE	m	m52	368
u822	TRENTINO	m	m52	417
u823	VERA	?	m52	164
u824	ANNE	f	m53	203
u825	BOY	?	m53	35
u826	BYTES	m	m53	268
u827	CARR	m	m53	663
u828	FOX	?	m53	46
u829	K. HEN	?	m53	180
u830	KATH	?	m53	42
u831	KENDAL	?	m53	314
u832	MERRICK	m	m53	841
