"Gender","character_text"
"m","There are two halves of the Force of Others.  One is positive and will help you if you learn how to use it.  But the others half will kill you if you aren't careful.  This negative side of the Force is called the Bogan, which is where the expression came "
"m","I'm Han Solo, Captain of this vessel.  Who's in charge then?"
"m","I'm Ben Kenobi.  Luke Starkiller here is leading our expedition."
"m","Organa Major is a rebel system. There will be quite a few starfleet patrols between here and there... It could be a little tricky if you want to avoid them... ten thousand."
"m","That's pretty steep.  We'd like to talk it over first."
"m","We don't have that kind of money. How much do you think I can get for the speeder?"
"m","Five, maybe.  Let me handle it."
"m","You got yourself a ship.  We can leave as soon as you're ready."
"m","We have a little business to take care of first, but it shouldn't take long. We'll be back shortly."
"m","I think we're going to need them. Blast it!"
"m","Sir, I have a couple of extra circuits.  Perhaps they might bring something."
"m","Well, ask him.  Tell him we need five thousand."
"m","This is the last place.  Shouldn't we just take what we can get and think of something else?"
"m","He's bluffing..."
"m","When we get Artoo's message to them, you think they'll try to rescue the princess?"
"m","I doubt it.  It would be foolish for the rebel forces to come out of hiding. I know your feelings.  You'd best forget them.  It's for your own good. There will be no saving her from the prisons of Alderaan.  It's the heart of the Sith.  The Bogan Force is"
"m","But she's a member of The Twelve Families.  How can they hold her?"
"m","These are doubtful times.  The Empire has grown bold in its disregard of the..."
"m","What's wrong?  What's happening?"
"m","Keep away, I'm fine, I'm fine."
"m","Are you all right?"
"m","Yes... the Force... something horrible has happened.  I couldn't see what it was, or where it was, but it was terrible... terrible beyond description... the cry of millions dying at once."
"m","The 'Death Star' has become operational.  There is no force in the universe that can stop us now."
"f","They'll find its weakness."
"m","It's too late... We already tested it on Organa Major.  It appears your data never got through."
"f","No!..."
"m","It would be much easier if you were to tell us where the outposts are... Otherwise we'll be forced to destroy every suspicious system... What a waste..."
"m","Who's the pilot?"
"m","It's automatic."
"m","Let him have it.  You're winning anyway.  It doesn't make any difference."
"m","I know, sir, but it's the principle of the thing."
"m","Are you sure you don't need it?"
"m","I rarely use it any more.  I have the Force.  The Force is more powerful than any pistol.  You shouldn't put too much faith in that weapon.  Work on becoming aware of the Force... learn to feel its presence within you.  Try to sense what it's telling you."
"m","What do I do?"
"m","All you have to do is lose your thinking self.  Don't focus on anything.  Let your body do your thinking... You have to learn to act on what you feel, not what you think ... If I had the crystal, it would be much easier.  You could feel the Force immediat"
"m","I'd keep that thing close just in case, if I were you... I've been around from one end of the galaxy to the other and believe me this Force of Others stuff may make for good religion, but there is no substitute for a good weapon at your side."
"m","You don't believe in the Force?"
"m","Sorcery!  I believe in myself... I determine my destiny, not some mystical energy field."
"m","Well, we'll see..."
"m","You might get your stuff together. We'll be coming up on Organa Major soon."
"m","What is it?"
"m","He can't find Organa Major."
"m","I found it... It's just not there."
"m","What are you saying?"
"m","The Empire must have gotten here first."
"m","The planet has been totally blown away!  It would have taken a thousand ships with a lot more fire power than I've ever seen... If the Empire had a new weapon that could do this... I would have heard something... I'd know about it."
"m","Well, now you know... The enemy is on the move.  We haven't much time."
"m","Well, I've brought you here.  What now?"
"m","We have to find he rebels... What we're carrying belongs to them."
"m","Their bases are very well hidden. All the power of the Empire can't find them... Do you know where they are?"
"m","No, not anymore."
"m","I'm not taking you on an impossible search across the galaxy... I was only paid to get you here and now you're here.  I'll take my other five thousand and you're on your own... I'll leave you on the nearest system."
"m","You can't!  We've come this far.  We must find them..."
"m","Why?"
"m","Well, for one reason, we don't have your other five thousand."
"m","Who's going to pay me then?"
"m","I think there are some things we should talk about."
"m","I'm beginning not to like you."
"m","How much do you think she's talking about?"
"m","A million at least... If this robot has information related to the destruction of Organa Major, you'll be able to name the reward..."
"m","Anything I want!  Now that's interesting."
"m","Maybe you should just drop us off. I'm sure we can find someone willing to take the risk."
"m","All right, all right! You've got a ship!  But where do we go from here?  They probably took her to find the hidden bases... I don't see how we can find the rebels before she breaks.  The Empire has already beat us out."
"m","But she is the only link between us and the hidden bases."
"m","You mean we should go after her!..."
"m","I didn't say that, but it appears to be a logical alternative."
"m","No, it's impossible... No one, and I mean no one would venture anywhere near the Alderaan system... I'm a free booter, not revolutionary.  You're aboard the wrong ship, son!"
"m","Maybe the fact that no one would go there voluntarily could help us. They probably don't think anyone would dare try."
"m","Don't you believe it."
"m","Luke's got a point... ... Fear is their greatest defense... I doubt if the actual security there is much greater than on Aquilae or Sullust, and what there is is most likely directed toward large-scale assault."
"m","This isn't a game, you know."
"m","Kid, you take the glory and the good intentions and I'll take the reward."
"m","Fear is their greatest weapon."
"m","I'm not afraid of anything..."
"m","You have your father's style.  You've done very well."
"m","Not bad."
"m","Well, I practice a lot..."
"m","You're good with 'remotes,' but how are you against something living?"
"m","I don't know... I've never fought anyone."
"m","I can't see!  How can I fight?"
"m","Try to feel it.  Use the Force..."
"m","I can't do it.  I'll get hit."
"m","Stop thinking, and start feeling. Let yourself go."
"m","See, once you let yourself go you can do it.  You'll get it."
"m","I don't get it, but I guess I did block it."
"m","We're into the second perimeter. They'll be coming out to blast us shortly.  I was wondering if you had some kind of a plan or are we going to try to blast our way in?"
"m","Check your data banks for all the information you have on Imperial procedures.  Both of you will have to learn..."
"m","We're going to get in by studying Imperial procedures?  I don't like it."
"m","All right then, we'll use your plan."
"m","I'll get the information."
"m","... and I want you to start cleaning the equipment out of the scan- shielded compartments."
"m","What do you want with our scan-proof lockers?"
"m","Darth Vader is on this system.  I can feel him.  I can feel the Kiber Crystal."
"m","Is that good or bad?"
"m","It's not good... unless I could find the Crystal.  Then it could be very good."
"m","What about the princess?"
"m","You go after the princess. I am an old man and would be of little help.  I must try to find the Crystal."
"m","I'm not going alone!"
"m","Don't look at me.  I'm just a pilot. I got you here... You've got to do the rest."
"m","There is a greater risk in staying here, you know.  If you don't find the princess, then the whole trip was for nothing... wasn't it?"
"m","I'm not going out there."
"m","Between his howling and your blasting everything in sight, the entire city is going to know we're here."
"m","Good!  I prefer a straight fight to all this sneaking around."
"m","Level five, Detention block A-23, cell 2187.  She's still alive..."
"m","Send feed-back into the control sensors in that Detention block."
"m","That's straight through the central core... up toward the top of the city... Once you've got her, avoid the main transports, they'll shut down immediately.  Your only chance is through the service shafts. There are no sensors there... All right now, get g"
"m","We'll be back before you are, old man."
"m","May the Force be with you."
"m","This isn't going to work."
"m","Why didn't you say so before."
"m","I think I did."
"m","A Wookiee broke loose up here, but we've subdued him... There is a lot of damage, and three, no four, casualties..."
"m","No need, everything's under control."
"m","The... ah door's jammed.  Give us a few minutes to get it fixed."
"m","Something has happened to them. Let's try this way..."
"m","Let's try this way!  Holy Maker."
"m","See Threepio, come in, See Threepio. I wonder where they are??  See Threepio..."
"m","I think she's going to be all right."
"m","Not if this tunnel deadends."
"f","What is it?  What's going on?  Where are we?"
"m","You're safe.  We've come to get you out of here... Just relax."
"m","Is he afraid of the water?"
"m","No, he smells something... but we haven't time to worry about it now."
"m","Watch it!  Move back."
"m","Get Chewbacca.  Try to get around it. I'll draw it away."
"m","It's only light that doesn't affect it.  Solid things, like rocks, can hurt it!  Fire above him!"
"m","Move out of the way!"
"m","I am Luke Starkiller at your service."
"f","There'll be time for that later. Now let's get out of here."
"m","See Threepio... do you copy?"
"m","I read you sir."
"m","You're back.  What happened?  Never mind.  What's going on?"
"m","I'm afraid we're not plugged in at the moment, sir.  We've had some problems."
"m","Are you safe?"
"m","For the moment.  We're in the main hangar.  Artoo is trying to plug into the system now."
"m","Good.  We're right above you.  Stand by."
"m","Get to the ship!"
"m","Come back here... Where are you going?"
"m","Wait a minute, slow down!... That's better.  They're where?  They what? They are?  Oh, no! We're going to be mashed into conduit before this is over..."
"m","See Threepio!  Do you copy?"
"f","Put that thing away or you're going to get us all killed."
"m","Yes, your highness. I'll let you open it then.  It won't be too long before they figure out what happened to us.  This has turned into a brilliant escape!"
"f","It could be worse..."
"m","Holy Maker, Threepio.  I forgot..."
"m","Are you there, sir?  We're going..."
"m","Threepio!  Shut down all garbage mashers on your level... Do you copy?? Threepio, shut down all garbage..."
"f","Here come six more... grid two!"
"m","Was this trip really necessary?"
"f","There are only three or four left."
"m","Chewbacca, it's time we showed them this isn't the regulation F8-88 Cargo Trawler."
"f","All the data banks in Artoo are still secure."
"m","Then I think we're due the reward you offered... and it had better be substantial after what we've been through."
"f","When Artoo has been safely delivered to my forces, you get your reward. You have my guarantee."
"m","What's that little 'droid' carrying that's so blasted important?"
"f","The plans and specifications to a battle station with enough fire power to destroy an entire system... Our only hope in destroying it is to find its weakness, which we will determine from the data I stored in Artoo."
"f","We captured the plans in a raid on the Imperial shipyards, but we fell under attack before I could get the data to safety, so I hid it in this Artoo unit and sent him off."
"m","Where are you taking us now anyway?"
"f","The fourth moon of Yavin.  I've given the coordinates to Chewbacca."
"m","I'd better go see how he's doing."
"m","Are there medical facilities on Yavin?"
"f","He'll be well cared for."
"m","I don't pick up any life form concentration down there.  She'd better be right."
"m","They must be shielded somehow.  I'm sure the base is there."
"m","Well, if it's not, we'll be facing that Death Star all by our lonesome."
"m","I don't see how we're going to find anything out here.  This terrain is hopeless."
"f","Did it occur to you they might find us?"
"f","We must hurry to the base.  We have little time before the Death Star arrives."
"m","I'd like to get paid before that eventually.  I don't plan to stick around for the fireworks."
"m","What about us?  Are we to wait forever?  Is our reward to be blown to bits on this forsaken system, while your fleet mounts some suicidal attack on that Death Star? Part of my reward is that I be around to spend it."
"f","I have little time for your mercenary concerns, but I am grateful for the service you have given to our cause.  What is your price?"
"f","And you?"
"m","I... I don't know.  I guess I never thought about it... I just want to help.  I want to be in on the attack. I want my own ship."
"f","If you're as good a pilot as you are a swordsman... We're the ones who have been rewarded."
"m","You're a good pilot... I've learned a lot from you... I wish you..."
"m","I know, but the chances for survival here just aren't great enough in my book.  I've got what I came for. Now I've got to get back to my ship."
"m","The Kiber Crystal."
"m","Keep it with you always.  You'll have more need of it than I.  It will bring the Force to you.  You've already learned to feel it... Now you must learn to use it."
"m","Thank you, sir.  Your kindness is greatly appreciated, but if it's at all possible, Artoo and I would like to remain in your service."
"m","I'd consider it an honor."
"m","Yes, sir."
"m","Yes, sir.  I was considered one of the best bush pilots on Sullust. I've also had six hours on the T-2."
"m","Yes, sir."
"m","I've got it blocked.  I'm all right."
"m","I'm right behind you, Blue Leader."
"m","Yes, sir, but I can get him..."
"m","I noticed you were having some problems, Blue Five... I thought I'd help."
"m","Thanks, old buddy.  I'll be with you in a second."
